时间,4#温度[℃]
 2025-08-19 17:09:33.0922,31.03477
 2025-08-19 17:09:33.0923,31.03477
 2025-08-19 17:09:33.0924,31.011475
 2025-08-19 17:09:33.0925,31.03477
 2025-08-19 17:09:33.0926,31.01924
 2025-08-19 17:09:33.0927,31.01924
 2025-08-19 17:09:33.0928,31.027005
 2025-08-19 17:09:33.0929,31.027005
 2025-08-19 17:09:33.0930,31.03477
 2025-08-19 17:09:33.0931,31.027005
 2025-08-19 17:09:33.0932,31.03477
 2025-08-19 17:09:33.0933,31.027005
 2025-08-19 17:09:33.0934,31.027005
 2025-08-19 17:09:33.0935,31.0503
 2025-08-19 17:09:33.0936,31.03477
 2025-08-19 17:09:33.0937,31.042535
 2025-08-19 17:09:33.0938,31.042535
 2025-08-19 17:09:33.0939,31.027005
 2025-08-19 17:09:33.0940,31.027005
 2025-08-19 17:09:33.0941,31.027005
 2025-08-19 17:09:33.0942,31.027005
 2025-08-19 17:09:33.0943,31.027005
 2025-08-19 17:09:33.0944,31.011475
 2025-08-19 17:09:33.0945,31.011475
 2025-08-19 17:09:33.0946,31.011475
 2025-08-19 17:09:33.0947,31.027005
 2025-08-19 17:09:33.0948,31.027005
 2025-08-19 17:09:33.0949,31.01924
 2025-08-19 17:09:33.0950,31.027005
 2025-08-19 17:09:33.0951,31.03477
 2025-08-19 17:09:33.0952,31.03477
 2025-08-19 17:09:33.0953,31.027005
 2025-08-19 17:09:33.0954,31.01924
 2025-08-19 17:09:33.0955,31.03477
 2025-08-19 17:09:33.0956,31.042535
 2025-08-19 17:09:33.0957,31.03477
 2025-08-19 17:09:33.0958,31.027005
 2025-08-19 17:09:33.0959,31.011475
 2025-08-19 17:09:33.0960,31.011475
 2025-08-19 17:09:33.0961,31.027005
 2025-08-19 17:09:33.0962,31.01924
 2025-08-19 17:09:33.0963,31.027005
 2025-08-19 17:09:33.0964,31.01924
 2025-08-19 17:09:33.0965,31.03477
 2025-08-19 17:09:33.0966,31.03477
 2025-08-19 17:09:33.0967,31.027005
 2025-08-19 17:09:33.0968,31.03477
 2025-08-19 17:09:33.0969,31.0503
 2025-08-19 17:09:33.0970,31.073596
 2025-08-19 17:09:33.0971,31.089126
 2025-08-19 17:09:33.0972,31.089126
 2025-08-19 17:09:33.0973,31.081361
 2025-08-19 17:09:33.0974,31.058065
 2025-08-19 17:09:33.0975,31.081361
 2025-08-19 17:09:33.0976,31.06583
 2025-08-19 17:09:33.0977,31.06583
 2025-08-19 17:09:33.0978,31.073596
 2025-08-19 17:09:33.0979,31.0503
 2025-08-19 17:09:33.0980,31.042535
 2025-08-19 17:09:33.0981,31.03477
 2025-08-19 17:09:33.0982,31.027005
 2025-08-19 17:09:33.0983,31.01924
 2025-08-19 17:09:33.0984,31.011475
 2025-08-19 17:09:33.0985,31.027005
 2025-08-19 17:09:33.0986,31.01924
 2025-08-19 17:09:33.0987,31.027005
 2025-08-19 17:09:33.0988,31.03477
 2025-08-19 17:09:33.0989,31.011475
 2025-08-19 17:09:33.0990,31.042535
 2025-08-19 17:09:33.0991,31.042535
 2025-08-19 17:09:33.0992,31.03477
 2025-08-19 17:09:33.0993,31.042535
 2025-08-19 17:09:33.0994,31.027005
 2025-08-19 17:09:33.0995,31.0503
 2025-08-19 17:09:33.0996,31.0503
 2025-08-19 17:09:33.0997,31.0503
 2025-08-19 17:09:33.0998,31.042535
 2025-08-19 17:09:33.0999,31.027005
 2025-08-19 17:09:33.1000,31.0503
 2025-08-19 17:09:33.1001,31.03477
 2025-08-19 17:09:33.1002,31.03477
 2025-08-19 17:09:33.1003,31.042535
 2025-08-19 17:09:33.1004,31.01924
 2025-08-19 17:09:33.1005,31.042535
 2025-08-19 17:09:33.1006,31.027005
 2025-08-19 17:09:33.1007,31.027005
 2025-08-19 17:09:33.1008,31.027005
 2025-08-19 17:09:33.1009,31.027005
 2025-08-19 17:09:33.1010,31.03477
 2025-08-19 17:09:33.1011,31.027005
 2025-08-19 17:09:33.1012,31.027005
 2025-08-19 17:09:33.1013,31.027005
 2025-08-19 17:09:33.1014,31.027005
 2025-08-19 17:09:33.1015,31.03477
 2025-08-19 17:09:33.1016,31.01924
 2025-08-19 17:09:33.1017,31.027005
 2025-08-19 17:09:33.1018,31.01924
 2025-08-19 17:09:33.1019,31.011475
 2025-08-19 17:09:33.1020,31.01924
 2025-08-19 17:09:33.1021,31.027005
 2025-08-19 17:09:33.1022,31.03477
 2025-08-19 17:09:33.1023,31.03477
 2025-08-19 17:09:33.1024,31.027005
 2025-08-19 17:09:33.1025,31.01924
 2025-08-19 17:09:33.1026,31.027005
 2025-08-19 17:09:33.1027,31.027005
 2025-08-19 17:09:33.1028,31.03477
 2025-08-19 17:09:33.1029,31.03477
 2025-08-19 17:09:33.1030,31.03477
 2025-08-19 17:09:33.1031,31.027005
 2025-08-19 17:09:33.1032,31.01924
 2025-08-19 17:09:33.1033,31.01924
 2025-08-19 17:09:33.1034,31.01924
 2025-08-19 17:09:33.1035,31.01924
 2025-08-19 17:09:33.1036,31.027005
 2025-08-19 17:09:33.1037,31.01924
 2025-08-19 17:09:33.1038,31.027005
 2025-08-19 17:09:33.1039,31.011475
 2025-08-19 17:09:33.1040,31.011475
 2025-08-19 17:09:33.1041,31.01924
 2025-08-19 17:09:33.1042,31.027005
 2025-08-19 17:09:33.1043,31.027005
 2025-08-19 17:09:33.1044,31.01924
 2025-08-19 17:09:33.1045,31.01924
 2025-08-19 17:09:33.1046,31.027005
 2025-08-19 17:09:33.1047,31.01924
 2025-08-19 17:09:33.1048,31.027005
 2025-08-19 17:09:33.1049,31.027005
 2025-08-19 17:09:33.1050,31.03477
 2025-08-19 17:09:33.1051,31.042535
 2025-08-19 17:09:33.1052,31.027005
 2025-08-19 17:09:33.1053,31.03477
 2025-08-19 17:09:33.1054,31.01924
 2025-08-19 17:09:33.1055,31.03477
 2025-08-19 17:09:33.1056,31.03477
 2025-08-19 17:09:33.1057,31.03477
 2025-08-19 17:09:33.1058,31.03477
 2025-08-19 17:09:33.1059,31.011475
 2025-08-19 17:09:33.1060,31.01924
 2025-08-19 17:09:33.1061,31.01924
 2025-08-19 17:09:33.1062,31.01924
 2025-08-19 17:09:33.1063,31.03477
 2025-08-19 17:09:33.1064,31.011475
 2025-08-19 17:09:33.1065,31.01924
 2025-08-19 17:09:33.1066,31.00371
 2025-08-19 17:09:33.1067,31.01924
 2025-08-19 17:09:33.1068,31.011475
 2025-08-19 17:09:33.1069,31.011475
 2025-08-19 17:09:33.1070,31.027005
 2025-08-19 17:09:33.1071,31.011475
 2025-08-19 17:09:33.1072,31.00371
 2025-08-19 17:09:33.1073,30.995945
 2025-08-19 17:09:33.1074,30.98818
 2025-08-19 17:09:33.1075,30.995945
 2025-08-19 17:09:33.1076,30.995945
 2025-08-19 17:09:33.1077,31.00371
 2025-08-19 17:09:33.1078,30.995945
 2025-08-19 17:09:33.1079,30.980415
 2025-08-19 17:09:33.1080,30.980415
 2025-08-19 17:09:33.1081,30.980415
 2025-08-19 17:09:33.1082,30.980415
 2025-08-19 17:09:33.1083,30.980415
 2025-08-19 17:09:33.1084,30.97265
 2025-08-19 17:09:33.1085,30.98818
 2025-08-19 17:09:33.1086,30.995945
 2025-08-19 17:09:33.1087,31.00371
 2025-08-19 17:09:33.1088,31.00371
 2025-08-19 17:09:33.1089,31.00371
 2025-08-19 17:09:33.1090,31.01924
 2025-08-19 17:09:33.1091,31.01924
 2025-08-19 17:09:33.1092,31.01924
 2025-08-19 17:09:33.1093,31.03477
 2025-08-19 17:09:33.1094,31.027005
 2025-08-19 17:09:33.1095,31.03477
 2025-08-19 17:09:33.1096,31.03477
 2025-08-19 17:09:33.1097,31.027005
 2025-08-19 17:09:33.1098,31.027005
 2025-08-19 17:09:33.1099,31.027005
 2025-08-19 17:09:33.1100,31.03477
 2025-08-19 17:09:33.1101,31.042535
 2025-08-19 17:09:33.1102,31.042535
 2025-08-19 17:09:33.1103,31.0503
 2025-08-19 17:09:33.1104,31.03477
 2025-08-19 17:09:33.1105,31.058065
 2025-08-19 17:09:33.1106,31.06583
 2025-08-19 17:09:33.1107,31.06583
 2025-08-19 17:09:33.1108,31.073596
 2025-08-19 17:09:33.1109,31.06583
 2025-08-19 17:09:33.1110,31.06583
 2025-08-19 17:09:33.1111,31.058065
 2025-08-19 17:09:33.1112,31.058065
 2025-08-19 17:09:33.1113,31.06583
 2025-08-19 17:09:33.1114,31.058065
 2025-08-19 17:09:33.1115,31.06583
 2025-08-19 17:09:33.1116,31.06583
 2025-08-19 17:09:33.1117,31.06583
 2025-08-19 17:09:33.1118,31.06583
 2025-08-19 17:09:33.1119,31.058065
 2025-08-19 17:09:33.1120,31.081361
 2025-08-19 17:09:33.1121,31.081361
 2025-08-19 17:09:33.1122,31.081361
 2025-08-19 17:09:33.1123,31.081361
 2025-08-19 17:09:33.1124,31.065831
 2025-08-19 17:09:33.1125,31.081361
 2025-08-19 17:09:33.1126,31.081361
 2025-08-19 17:09:33.1127,31.081361
 2025-08-19 17:09:33.1128,31.081361
 2025-08-19 17:09:33.1129,31.065831
 2025-08-19 17:09:33.1130,31.065831
 2025-08-19 17:09:33.1131,31.0503
 2025-08-19 17:09:33.1132,31.0503
 2025-08-19 17:09:33.1133,31.0503
 2025-08-19 17:09:33.1134,31.0503
 2025-08-19 17:09:33.1135,31.06583
 2025-08-19 17:09:33.1136,31.06583
 2025-08-19 17:09:33.1137,31.06583
 2025-08-19 17:09:33.1138,31.058065
 2025-08-19 17:09:33.1139,31.0503
 2025-08-19 17:09:33.1140,31.0503
 2025-08-19 17:09:33.1141,31.06583
 2025-08-19 17:09:33.1142,31.06583
 2025-08-19 17:09:33.1143,31.06583
 2025-08-19 17:09:33.1144,31.0503
 2025-08-19 17:09:33.1145,31.0503
 2025-08-19 17:09:33.1146,31.042535
 2025-08-19 17:09:33.1147,31.027005
 2025-08-19 17:09:33.1148,31.027005
 2025-08-19 17:09:33.1149,31.01924
 2025-08-19 17:09:33.1150,31.03477
 2025-08-19 17:09:33.1151,31.03477
 2025-08-19 17:09:33.1152,31.027005
 2025-08-19 17:09:33.1153,31.01924
 2025-08-19 17:09:33.1154,31.011475
 2025-08-19 17:09:33.1155,31.027005
