Test_Time(s),Temperature (C)_1,Temperature (C)_2
30540.34128781568,-10.56065845489502,-10.679804801940918
30545.34887383009,-10.56065845489502,-10.647916793823242
30550.35643559206,-10.638606071472168,-10.726103782653809
30555.36400890281,-10.52877712249756,-10.647916793823242
30560.371530628963,-10.60672092437744,-10.647916793823242
30565.379152829588,-10.638606071472168,-10.726103782653809
30570.38671228179,-10.574834823608398,-10.647916793823242
30575.39429021205,-10.496893882751465,-10.616028785705566
30580.401736486125,-10.60672092437744,-10.726103782653809
30585.409442607943,-10.574834823608398,-10.69421100616455
30590.416945856043,-10.60672092437744,-10.616028785705566
30595.424616946537,-10.574834823608398,-10.616028785705566
30600.432151761324,-10.574834823608398,-10.552252769470217
30605.439726226952,-10.542949676513672,-10.74050521850586
30610.447304157216,-10.574834823608398,-10.584141731262209
30615.454877083008,-10.542949676513672,-10.69421100616455
30620.462440769767,-10.542949676513672,-10.630428314208984
30625.47001562035,-10.511062622070312,-10.552252769470217
30630.47767554702,-10.542949676513672,-10.552252769470217
30635.48513259996,-10.542949676513672,-10.584141731262209
30640.492686662725,-10.496893882751465,-10.662320137023926
30645.500260358436,-10.496893882751465,-10.662320137023926
30650.507871780188,-10.52877712249756,-10.616028785705566
30655.515457024685,-10.60672092437744,-10.69421100616455
30660.52311579647,-10.60672092437744,-10.772400856018066
30665.530568999817,-10.574834823608398,-10.69421100616455
30670.538164253263,-10.52877712249756,-10.616028785705566
30675.54575257744,-10.52877712249756,-10.69421100616455
30680.553286622304,-10.52877712249756,-10.69421100616455
30685.56092768595,-10.52877712249756,-10.616028785705566
30690.56845788121,-10.60672092437744,-10.616028785705566
30695.57606121882,-10.574834823608398,-10.647916793823242
30700.583796212613,-10.45084285736084,-10.616028785705566
30705.59116972932,-10.56065845489502,-10.726103782653809
30710.598750354296,-10.60672092437744,-10.726103782653809
30715.60627054061,-10.60672092437744,-10.647916793823242
30720.61384115665,-10.45084285736084,-10.757994651794434
30725.62137212184,-10.372917175292969,-10.647916793823242
30730.629021269637,-10.60672092437744,-10.647916793823242
30735.636633461305,-10.496893882751465,-10.647916793823242
30740.64416943097,-10.60672092437744,-10.647916793823242
30745.651776233208,-10.52877712249756,-10.726103782653809
30750.659402283425,-10.52877712249756,-10.726103782653809
30755.66689898721,-10.52877712249756,-10.647916793823242
30760.674461134127,-10.574834823608398,-10.647916793823242
30765.68218611897,-10.52877712249756,-10.726103782653809
30770.68963123816,-10.60672092437744,-10.726103782653809
30775.69718222125,-10.60672092437744,-10.616028785705566
30780.704742443377,-10.45084285736084,-10.647916793823242
30785.71232614804,-10.45084285736084,-10.679804801940918
30790.71989329943,-10.52877712249756,-10.647916793823242
30795.727470459773,-10.372917175292969,-10.647916793823242
30800.735019903022,-10.45084285736084,-10.647916793823242
30805.74261284672,-10.52877712249756,-10.726103782653809
30810.75018192291,-10.372917175292969,-10.647916793823242
30815.757622037632,-10.638606071472168,-10.647916793823242
30820.76535741638,-10.482720375061035,-10.679804801940918
30825.77290301004,-10.45084285736084,-10.647916793823242
30830.78041934676,-10.52877712249756,-10.647916793823242
30835.788051941297,-10.45084285736084,-10.679804801940918
30840.795608313816,-10.52877712249756,-10.679804801940918
30845.803197792877,-10.45084285736084,-10.647916793823242
30850.810776108097,-10.45084285736084,-10.647916793823242
30855.81846914129,-10.52877712249756,-10.679804801940918
30860.82592118976,-10.56065845489502,-10.726103782653809
30865.83347371268,-10.56065845489502,-10.647916793823242
30870.840953478244,-10.52877712249756,-10.647916793823242
30875.84857952846,-10.52877712249756,-10.679804801940918
30880.8561424453,-10.482720375061035,-10.757994651794434
30885.86376002641,-10.45084285736084,-10.647916793823242
30890.87135258513,-10.482720375061035,-10.647916793823242
30895.878937059715,-10.482720375061035,-10.647916793823242
30900.88652422901,-10.56065845489502,-10.647916793823242
